Geo_NAME,Geo_QName,Geo_FIPS,Geo_SUMLEV,Geo_GEOCOMP,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUNTYSC,Geo_COUSUB,Geo_TRACT,SE_T001_001,SE_T003_002,SE_T003_001,SE_T003_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T005_001,SE_T005_002,SE_T005_003,SE_T008_001,SE_T008_002,SE_T008_003,SE_T008_004,SE_T008_005,SE_T008_006,SE_T008_007,SE_T008_008,SE_T008_009,SE_T008_010,SE_T008_011,SE_T008_012,SE_T008_013,SE_T014_001,SE_T014_002,SE_T014_003,SE_T014_004,SE_T014_005,SE_T014_006,SE_T014_007,SE_T014_008,SE_T020_001,SE_T020_002,SE_T020_003,SE_T020_004,SE_T020_005,SE_T020_006,SE_T020_007,SE_T020_008,SE_T020_009,SE_T025_001,SE_T025_002,SE_T025_003,SE_T025_004,SE_T025_005,SE_T025_006,SE_T025_007,SE_T025_008,SE_T025_009,SE_T025_010,SE_T025_011,SE_T025_012,SE_T025_013,SE_T025_014,SE_T025_015,SE_T025_016,SE_T025_017,SE_T025_018,SE_T069_001,SE_T069_002,SE_T069_003,SE_T069_004,SE_T069_005,SE_T069_006,SE_T069_007,SE_T073_001,SE_T073_002,SE_T073_003,SE_T093_001,SE_T155_001,SE_T156_001,SE_T156_002,SE_T156_003,SE_T185_001,SE_T185_002,SE_T185_003,SE_T185_004,SE_T185_005
"Census Tract 9704","Census Tract 9704, Columbia County, Oregon","41009970400","140","00","92","41","009","16",,"970400",2445,2445,43.39511,56.3427475339654,60.39614,56.34275,4.053398,2445,1260,1185,2445,137,162,210,125,139,232,398,489,310,150,77,16,2445,2334,0,35,12,5,9,50,900,705,588,117,49,68,195,124,71,2414,2414,2211,722,594,768,29,8,17,0,73,203,118,41,44,0,0,0,1846,1192,0,1192,1106,86,654,1192,1106,86,45265,962,900,754,146,2408,243,345,588,1820
"Census Tract 9705","Census Tract 9705, Columbia County, Oregon","41009970500","140","00","92","41","009","16",,"970500",5493,5493,63.49968,86.5043699044165,87.2529,86.50437,0.748527,5493,2852,2641,5493,312,439,501,299,359,531,943,1031,553,316,169,40,5493,5206,19,67,34,3,50,114,1959,1538,1311,227,92,135,421,223,198,5493,5488,4958,1548,1327,1669,121,11,31,72,179,530,313,98,119,5,0,5,4139,2720,24,2696,2556,140,1419,2696,2556,140,52121,2077,1959,1678,281,5458,448,738,1186,4272
"Census Tract 9706","Census Tract 9706, Columbia County, Oregon","41009970600","140","00","92","41","009","16",,"970600",5077,5077,244.7306,20.7452575069846,21.2034,20.74526,0.4581423,5077,2514,2563,5077,264,340,428,243,295,519,847,863,608,381,228,61,5077,4844,7,61,27,5,40,93,1866,1499,1335,164,59,105,367,184,183,5077,5077,4628,1519,1393,1449,146,9,39,35,38,449,277,82,90,0,0,0,3976,2503,5,2498,2399,99,1473,2498,2399,99,54337,1938,1866,1647,219,5070,389,406,795,4275
"Census Tract 9707","Census Tract 9707, Columbia County, Oregon","41009970700","140","00","92","41","009","16",,"970700",4110,4110,2250.951,1.82589456012924,2.755984,1.825895,0.9300892,4110,2118,1992,4110,317,339,321,188,385,651,675,544,311,178,152,49,4110,3792,10,64,27,4,45,168,1549,1050,791,259,83,176,499,263,236,4110,4011,3410,1075,867,1220,56,0,41,21,130,601,386,96,119,99,59,40,3073,2041,0,2041,1852,189,1032,2041,1852,189,41123,1690,1549,984,565,3986,311,675,986,3000
"Census Tract 9708","Census Tract 9708, Columbia County, Oregon","41009970800","140","00","92","41","009","16",,"970800",5132,5132,2445.986,2.09813134269348,2.098131,2.098131,0,5132,2438,2694,5132,449,434,442,218,445,768,790,608,372,243,259,104,5132,4781,21,81,32,10,70,137,1976,1308,946,362,101,261,668,305,363,5132,5063,4191,1313,994,1571,100,9,16,84,104,872,541,132,199,69,62,7,3725,2475,11,2464,2318,146,1250,2464,2318,146,36250,2113,1976,1122,854,5046,774,760,1534,3512
"Census Tract 9709","Census Tract 9709, Columbia County, Oregon","41009970900","140","00","92","41","009","16",,"970900",3335,3335,140.95,23.6608710156186,33.22,23.66087,9.559128,3335,1647,1688,3335,217,239,228,132,237,418,543,485,347,249,182,58,3335,3131,11,46,27,1,26,93,1362,931,748,183,60,123,431,219,212,3335,3302,2814,949,717,952,91,14,8,33,50,488,356,58,74,33,33,0,2591,1795,0,1795,1687,108,796,1795,1687,108,46130,1489,1362,977,385,3302,193,616,809,2493
"Census Tract 9710","Census Tract 9710, Columbia County, Oregon","41009971000","140","00","92","41","009","16",,"971000",4239,4239,160.5055,26.410309236954,26.41031,26.41031,0,4239,2086,2153,4239,254,296,335,215,286,476,789,742,415,222,164,45,4239,4037,12,55,27,4,17,87,1617,1202,1009,193,63,130,415,224,191,4270,4250,3704,1201,1068,1273,12,19,52,39,40,546,358,84,104,20,0,20,3287,2362,0,2362,2247,115,925,2362,2247,115,51284,1691,1617,1247,370,4246,229,392,621,3625
"Census Tract 9711","Census Tract 9711, Columbia County, Oregon","41009971100","140","00","92","41","009","16",,"971100",3694,3694,17.44176,211.790547292111,211.8567,211.7905,0.066159,3694,1861,1833,3694,276,306,349,234,229,449,628,513,308,235,137,30,3694,3544,14,38,17,2,14,65,1316,996,839,157,48,109,320,177,143,3694,3694,3298,987,891,1235,64,25,18,45,33,396,262,51,83,0,0,0,2660,1552,0,1552,1459,93,1108,1552,1459,93,41186,1474,1316,1047,269,3675,338,722,1060,2615
"Census Tract 9601","Census Tract 9601, Gilliam County, Oregon","41021960100","140","00","92","41","021","10",,"960100",1915,1915,1.590442,1204.06777483139,1222.842,1204.068,18.77443,1915,968,947,1915,87,120,144,94,103,184,306,295,217,183,135,47,1915,1853,3,16,3,0,22,18,819,544,474,70,22,48,275,138,137,1915,1890,1574,553,467,471,31,17,10,10,15,316,244,33,39,25,0,25,1532,1010,0,1010,941,69,522,1010,941,69,33611,1043,819,575,244,1910,173,489,662,1248
"Census Tract 9501","Census Tract 9501, Hood River County, Oregon","41027950100","140","00","92","41","027","15",,"950100",4118,4118,9.865105,417.430937903959,424.3801,417.4309,6.949132,4118,2134,1984,4118,291,361,338,219,345,516,666,610,333,238,166,35,4118,3275,2,85,68,3,570,115,1341,1031,847,184,55,129,310,159,151,4118,3804,3447,1061,844,1185,106,4,1,57,189,357,242,52,63,314,55,259,3077,2063,3,2060,1900,160,1014,2060,1900,160,35977,1475,1341,928,413,3972,636,924,1560,2412
"Census Tract 9502","Census Tract 9502, Hood River County, Oregon","41027950200","140","00","92","41","027","15",,"950200",5862,5862,226.0313,25.934458383591,27.43694,25.93446,1.502485,5862,2871,2991,5862,385,395,476,292,365,597,967,851,527,431,384,192,5862,4956,47,38,116,4,548,153,2114,1561,1316,245,85,160,553,247,306,5862,5638,5000,1576,1287,1695,90,64,23,78,187,638,453,88,97,224,200,24,4514,2873,0,2873,2724,149,1641,2873,2724,149,45519,2234,2114,1543,571,5650,534,1042,1576,4074
"Census Tract 9503","Census Tract 9503, Hood River County, Oregon","41027950300","140","00","92","41","027","15",,"950300",5209,5209,2329.542,2.23606171148283,4.083467,2.236062,1.847405,5209,2459,2750,5209,432,376,348,207,523,884,853,635,332,291,210,118,5209,4185,36,51,53,11,740,133,2151,1289,961,328,74,254,862,372,490,5209,5161,4157,1326,1012,1567,34,41,0,77,100,1004,680,141,183,48,0,48,3953,2699,0,2699,2476,223,1254,2699,2476,223,31994,2356,2151,1055,1096,5177,949,1254,2203,2974
"Census Tract 9504","Census Tract 9504, Hood River County, Oregon","41027950400","140","00","92","41","027","15",,"950400",5222,5222,68.04387,76.7446088553306,77.65554,76.74461,0.9109309,5222,2684,2538,5222,393,488,449,259,445,730,791,708,401,316,186,56,5222,3683,32,55,64,7,1279,102,1642,1294,1123,171,78,93,348,192,156,5222,4939,4508,1294,1205,1606,82,61,43,52,165,431,267,80,84,283,0,283,3795,2561,0,2561,2425,136,1234,2561,2425,136,38531,1753,1642,1176,466,5187,726,1472,2198,2989
"Census Tract 9604","Census Tract 9604, Jefferson County, Oregon","41031960400","140","00","92","41","031","14",,"960400",2627,2627,6.4818,405.288648441614,408.9433,405.2886,3.654617,2627,1358,1269,2627,251,255,363,196,297,384,368,263,137,82,24,7,2627,66,2,2462,0,2,27,68,635,539,231,308,95,213,96,56,40,2627,2567,2450,539,257,973,244,56,44,164,173,117,70,27,20,60,50,10,1691,1082,0,1082,856,226,609,1082,856,226,30887,675,635,409,226,2553,787,682,1469,1084
"Census Tract 4.02","Census Tract 4.02, Lane County, Oregon","41039000402","140","00","92","41","039","19",,"000402",3292,3292,29.34029,112.200674288838,112.2108,112.2007,0.0101541,3292,1673,1619,3292,156,151,243,183,215,250,575,704,417,233,133,32,3292,3084,8,27,18,7,44,104,1258,957,819,138,59,79,301,182,119,3292,3292,2930,980,895,928,16,7,9,41,54,362,210,73,79,0,0,0,2696,1800,0,1800,1707,93,896,1800,1707,93,48242,1327,1258,1051,207,3292,174,590,764,2528
"Census Tract 4.03","Census Tract 4.03, Lane County, Oregon","41039000403","140","00","92","41","039","19",,"000403",4634,4634,320.6137,14.4535310588312,14.48501,14.45353,0.03147852,4634,2271,2363,4634,351,337,362,219,465,606,694,620,388,273,248,71,4634,4265,12,69,15,6,129,138,1787,1252,1014,238,73,165,535,229,306,4729,4697,4127,1293,1118,1448,98,63,0,39,68,570,443,55,72,32,16,16,3636,2416,0,2416,2333,83,1220,2416,2333,83,38394,1889,1787,1174,613,4672,219,729,948,3724
"Census Tract 4.04","Census Tract 4.04, Lane County, Oregon","41039000404","140","00","92","41","039","19",,"000404",3826,3826,126.3435,30.2825310387538,30.64654,30.28253,0.3640086,3826,1889,1937,3826,233,264,313,173,281,414,555,547,429,258,228,131,3826,3553,17,34,42,5,91,84,1425,977,809,168,36,132,448,209,239,3731,3621,3062,965,796,1027,91,19,11,43,110,559,362,91,106,110,84,26,2864,1777,0,1777,1746,31,1087,1777,1746,31,36937,1490,1425,880,545,3636,499,568,1067,2569
"Census Tract 5","Census Tract 5, Lane County, Oregon","41039000500","140","00","92","41","039","19",,"000500",2355,2355,6.733761,349.730262842917,350.6105,349.7303,0.8802713,2355,1178,1177,2355,114,127,191,121,156,217,340,426,284,240,117,22,2355,2124,3,60,13,3,21,131,916,637,510,127,32,95,279,150,129,2355,2315,1975,642,550,576,43,18,14,10,122,340,212,59,69,40,0,40,1878,1009,0,1009,956,53,869,1009,956,53,28727,1128,916,671,245,2283,403,544,947,1336
"Census Tract 7.03","Census Tract 7.03, Lane County, Oregon","41039000703","140","00","92","41","039","19",,"000703",5543,5543,22.84764,242.607060727694,290.5813,242.6071,47.97419,5543,2696,2847,5543,184,212,302,169,228,327,636,760,839,1045,663,178,5543,5337,6,51,19,5,18,107,2600,1709,1482,227,59,168,891,376,515,5543,5488,4361,1684,1442,894,88,10,15,35,193,1127,753,157,217,55,21,34,4763,1881,0,1881,1670,211,2882,1881,1670,211,35140,3133,2600,1989,611,5471,703,961,1664,3807
"Census Tract 7.04","Census Tract 7.04, Lane County, Oregon","41039000704","140","00","92","41","039","19",,"000704",5362,5362,481.7627,11.1299604476932,31.17526,11.12996,20.0453,5362,2449,2913,5362,202,268,259,174,278,340,533,626,740,1009,740,193,5362,5143,18,46,33,7,35,80,2645,1613,1281,332,59,273,1032,397,635,5362,5359,4164,1614,1353,1046,51,19,20,20,41,1195,882,143,170,3,0,3,4585,1874,0,1874,1757,117,2711,1874,1757,117,28086,3265,2645,1805,840,5343,816,1312,2128,3215
"Census Tract 9501","Census Tract 9501, Lincoln County, Oregon","41041950100","140","00","92","41","041","16",,"950100",3149,3149,24.53796,128.331763699291,128.3368,128.3318,0.004995776,3149,1581,1568,3149,143,188,207,135,228,267,482,552,401,322,183,41,3149,2932,3,86,10,0,27,91,1270,889,735,154,52,102,381,194,187,3149,3149,2683,923,789,733,61,0,9,31,137,466,270,85,111,0,0,0,2591,1643,0,1643,1548,95,948,1643,1548,95,36719,1492,1270,1000,270,3126,433,658,1091,2035
"Census Tract 9503","Census Tract 9503, Lincoln County, Oregon","41041950300","140","00","92","41","041","16",,"950300",4422,4422,516.0442,8.56903352447965,28.56487,8.569034,19.99584,4422,2066,2356,4422,212,243,240,170,295,416,558,714,563,474,390,147,4422,3969,23,132,61,12,103,122,2025,1173,894,279,66,213,852,340,512,4422,4364,3376,1216,980,949,29,12,19,20,151,988,692,130,166,58,42,16,3639,2067,0,2067,1874,193,1572,2067,1874,193,30353,3347,2025,1103,922,4349,559,802,1361,2988
"Census Tract 9504","Census Tract 9504, Lincoln County, Oregon","41041950400","140","00","92","41","041","16",,"950400",3876,3876,1043.207,3.7154643187536,15.80162,3.715464,12.08616,3876,1784,2092,3876,246,259,267,147,338,432,498,578,422,362,234,93,3876,3418,13,121,30,14,116,164,1741,971,654,317,82,235,770,308,462,3876,3843,2897,980,629,977,36,19,22,44,190,946,637,129,180,33,33,0,3087,1799,0,1799,1575,224,1288,1799,1575,224,24530,2580,1741,765,976,3824,670,1219,1889,1935
"Census Tract 9506","Census Tract 9506, Lincoln County, Oregon","41041950600","140","00","92","41","041","16",,"950600",4554,4554,53.74432,84.734533132972,125.2412,84.73454,40.50671,4554,2188,2366,4554,139,160,207,129,195,293,600,752,784,740,468,87,4554,4283,8,71,36,6,44,106,2259,1378,1160,218,64,154,881,363,518,4554,4551,3466,1391,1125,661,39,43,37,59,111,1085,710,167,208,3,0,3,3995,2127,8,2119,1950,169,1868,2119,1950,169,32099,4176,2259,1727,532,4512,445,1030,1475,3037
"Census Tract 9508","Census Tract 9508, Lincoln County, Oregon","41041950800","140","00","92","41","041","16",,"950800",3144,3144,101.4079,31.003494996888,64.61079,31.00349,33.6073,3144,1456,1688,3144,195,194,175,117,204,275,372,465,334,378,317,118,3144,2892,15,46,41,6,48,96,1402,883,672,211,54,157,519,194,325,3144,3062,2445,878,697,732,38,30,32,11,27,617,429,88,100,82,14,68,2542,1355,0,1355,1253,102,1187,1355,1253,102,35827,1758,1402,886,516,3126,404,798,1202,1924
"Census Tract 9509","Census Tract 9509, Lincoln County, Oregon","41041950900","140","00","92","41","041","16",,"950900",3173,3173,600.4295,5.28455035312905,9.577314,5.28455,4.292764,3173,1534,1639,3173,179,215,275,163,227,363,457,547,309,247,148,43,3173,2754,9,94,68,10,132,106,1253,891,664,227,55,172,362,150,212,3101,3076,2625,854,658,820,46,61,23,75,88,451,334,50,67,25,6,19,2456,1645,5,1640,1563,77,811,1640,1563,77,32863,1378,1253,741,512,3084,417,635,1052,2032
"Census Tract 9510","Census Tract 9510, Lincoln County, Oregon","41041951000","140","00","92","41","041","16",,"951000",2207,2207,3677.275,0.600172664892656,12.32439,0.6001726,11.72422,2207,1168,1039,2207,131,111,113,95,265,354,344,324,208,132,107,23,2207,1883,13,40,43,4,154,70,976,477,293,184,62,122,499,240,259,2279,2164,1574,524,295,524,7,42,27,51,104,590,354,108,128,115,115,0,1818,1253,7,1246,1051,195,565,1246,1051,195,27556,1266,976,285,691,2159,384,861,1245,914
"Census Tract 9511","Census Tract 9511, Lincoln County, Oregon","41041951100","140","00","92","41","041","16",,"951100",1661,1661,1213.157,1.36915537832608,2.856665,1.369155,1.48751,1661,800,861,1661,52,67,85,76,97,135,215,335,218,193,128,60,1661,1519,8,39,11,1,38,45,739,413,318,95,24,71,326,134,192,1690,1541,1076,423,341,235,10,0,9,8,50,465,291,69,105,149,91,58,1498,912,11,901,804,97,586,901,804,97,34806,930,739,446,293,1572,213,263,476,1096
"Census Tract 9512","Census Tract 9512, Lincoln County, Oregon","41041951200","140","00","92","41","041","16",,"951200",1736,1736,83.79098,20.718221088283,42.12178,20.71822,21.40356,1736,854,882,1736,58,74,104,67,89,158,237,367,279,192,93,18,1736,1660,1,18,14,3,3,37,780,511,431,80,28,52,269,122,147,1707,1703,1427,510,414,370,31,16,10,24,52,276,190,42,44,4,0,4,1391,877,0,877,837,40,514,877,837,40,35476,1027,780,592,188,1688,150,353,503,1185
"Census Tract 9513","Census Tract 9513, Lincoln County, Oregon","41041951300","140","00","92","41","041","16",,"951300",2544,2544,63.88583,39.8210339198483,41.72544,39.82103,1.904403,2544,1254,1290,2544,134,173,237,121,144,264,430,457,248,192,116,28,2544,2377,7,57,23,1,15,64,988,741,593,148,44,104,247,131,116,2544,2544,2256,750,637,762,23,9,11,9,55,288,189,53,46,0,0,0,1909,1273,0,1273,1238,35,636,1273,1238,35,42308,1094,988,769,219,2533,376,413,789,1744
"Census Tract 9514","Census Tract 9514, Lincoln County, Oregon","41041951400","140","00","92","41","041","16",,"951400",2745,2745,64.89407,42.29970177468,42.53593,42.2997,0.2362339,2745,1366,1379,2745,191,183,270,156,190,363,480,392,233,154,107,26,2745,2528,4,101,13,0,12,87,1034,729,544,185,51,134,305,158,147,2745,2743,2380,751,539,909,32,8,23,24,94,363,237,48,78,2,0,2,2045,1257,5,1252,1141,111,788,1252,1141,111,36111,1149,1034,678,356,2717,508,400,908,1809
"Census Tract 9515","Census Tract 9515, Lincoln County, Oregon","41041951500","140","00","92","41","041","16",,"951500",2342,2342,26.42053,88.643172091917,117.6892,88.64317,29.04601,2342,1143,1199,2342,69,75,125,91,101,127,285,478,390,363,203,35,2342,2236,1,25,14,0,4,62,1107,696,602,94,32,62,411,185,226,2351,2351,1886,730,625,424,12,14,21,18,42,465,345,55,65,0,0,0,2046,917,0,917,836,81,1129,917,836,81,34778,1827,1107,914,193,2342,209,360,569,1773
"Census Tract 9516","Census Tract 9516, Lincoln County, Oregon","41041951600","140","00","92","41","041","16",,"951600",3426,3426,136.6281,25.0753748666017,38.77051,25.07537,13.69514,3426,1606,1820,3426,150,201,270,156,131,282,513,503,428,453,275,64,3426,3181,3,73,27,4,15,123,1510,949,738,211,49,162,561,224,337,3417,3405,2752,950,690,779,79,19,31,19,185,653,440,106,107,12,0,12,2706,1495,0,1495,1309,186,1211,1495,1309,186,31563,1916,1510,1070,440,3373,545,849,1394,1979
"Census Tract 9517","Census Tract 9517, Lincoln County, Oregon","41041951700","140","00","92","41","041","16",,"951700",1840,1840,13.7953,133.378718356996,157.4102,133.3787,24.03151,1840,901,939,1840,56,72,97,100,157,101,195,341,280,256,154,31,1840,1714,16,29,10,7,10,54,830,488,413,75,20,55,342,137,205,1840,1688,1293,505,428,276,41,0,8,4,31,395,281,51,63,152,0,152,1607,779,22,757,719,38,828,757,719,38,31636,1398,830,633,197,1833,342,345,687,1146
"Census Tract 9518","Census Tract 9518, Lincoln County, Oregon","41041951800","140","00","92","41","041","16",,"951800",3660,3660,9.999418,366.021278863068,366.2272,366.0213,0.2059535,3660,1850,1810,3660,218,246,294,212,243,363,585,645,363,301,150,40,3660,2946,8,465,12,2,16,211,1382,1055,843,212,68,144,327,173,154,3660,3655,3220,1049,847,1084,63,9,20,32,116,435,265,73,97,5,0,5,2831,1680,2,1678,1565,113,1151,1678,1565,113,38841,1551,1382,1065,317,3642,429,761,1190,2452
"Census Tract 201","Census Tract 201, Linn County, Oregon","41043020100","140","00","92","41","043","18",,"020100",6106,6106,105.8664,57.6764618214447,58.60686,57.67646,0.9303954,6106,3078,3028,6106,369,448,470,235,426,769,925,990,706,468,238,62,6106,5681,8,77,46,6,140,148,2321,1719,1469,250,93,157,602,334,268,6106,6102,5392,1769,1599,1619,90,22,35,110,148,710,464,113,133,4,0,4,4780,3064,0,3064,2810,254,1716,3064,2810,254,45053,2475,2321,1867,454,6055,525,1016,1541,4514
"Census Tract 202","Census Tract 202, Linn County, Oregon","41043020200","140","00","92","41","043","18",,"020200",1769,1769,202.5753,8.73255397322304,8.732554,8.732554,0,1769,898,871,1769,102,128,124,81,193,200,293,332,171,97,42,6,1769,1638,14,15,32,0,17,53,717,488,405,83,27,56,229,138,91,1769,1769,1500,501,423,522,9,2,9,8,26,269,194,30,45,0,0,0,1383,1009,0,1009,969,40,374,1009,969,40,46118,764,717,467,250,1769,135,216,351,1418
"Census Tract 203","Census Tract 203, Linn County, Oregon","41043020300","140","00","92","41","043","18",,"020300",5269,5269,2207.503,2.3868597074581,2.38686,2.38686,0,5269,2492,2777,5269,336,342,356,264,387,725,813,853,445,327,304,117,5269,4918,17,51,69,5,73,136,2150,1431,1116,315,78,237,719,306,413,5269,5165,4195,1428,1130,1377,45,34,22,40,119,970,559,173,238,104,62,42,4173,2896,0,2896,2722,174,1277,2896,2722,174,41385,2295,2150,1448,702,5177,413,763,1176,4001
"Census Tract 204","Census Tract 204, Linn County, Oregon","41043020400","140","00","92","41","043","18",,"020400",4051,4051,3628.448,1.11645536581637,1.208124,1.116455,0.09166837,4051,2068,1983,4051,330,291,260,172,539,677,634,495,261,174,177,41,4051,3628,53,86,43,23,123,95,1651,945,644,301,86,215,706,384,322,4051,4029,3024,938,647,1186,17,27,19,59,131,1005,517,206,282,22,14,8,3128,2051,0,2051,1713,338,1077,2051,1713,338,26983,1842,1651,707,944,4026,899,1173,2072,1954
"Census Tract 205","Census Tract 205, Linn County, Oregon","41043020500","140","00","92","41","043","18",,"020500",3293,3293,3095.716,1.0637280944931,1.0783,1.063728,0.0145715,3293,1499,1794,3293,226,201,163,102,338,450,449,403,333,272,258,98,3293,3048,15,38,37,6,73,76,1503,848,641,207,53,154,655,231,424,3293,3215,2448,836,599,788,44,35,20,44,82,767,567,98,102,78,0,78,2644,1582,0,1582,1429,153,1062,1582,1429,153,32306,1612,1503,759,744,3280,385,656,1041,2239
"Census Tract 206","Census Tract 206, Linn County, Oregon","41043020600","140","00","92","41","043","18",,"020600",6606,6606,2951.168,2.23843546765468,2.272818,2.238436,0.03438279,6606,3117,3489,6606,451,455,468,283,559,844,903,899,534,433,517,260,6606,6092,39,75,97,10,153,140,2741,1831,1497,334,86,248,910,321,589,6606,6591,5540,1838,1501,1916,62,27,29,55,112,1051,774,129,148,15,0,15,5138,3404,7,3397,3230,167,1734,3397,3230,167,43250,2956,2741,1771,970,6589,492,789,1281,5308
"Census Tract 207","Census Tract 207, Linn County, Oregon","41043020700","140","00","92","41","043","18",,"020700",5038,5038,1931.914,2.6077769472291,2.607777,2.607777,0,5038,2426,2612,5038,385,445,375,235,432,716,754,657,418,259,262,100,5038,4618,33,56,42,26,127,136,1916,1354,993,361,91,270,562,222,340,5038,4905,4249,1353,1048,1514,29,30,27,103,145,656,465,92,99,133,89,44,3747,2595,6,2589,2386,203,1152,2589,2386,203,36429,2153,1916,1251,665,4943,767,789,1556,3387
"Census Tract 208","Census Tract 208, Linn County, Oregon","41043020800","140","00","92","41","043","18",,"020800",8124,8124,4411.804,1.84142358960737,1.841424,1.841424,0,8124,4073,4051,8124,806,639,570,331,1082,1469,1150,868,481,322,273,133,8124,7220,40,120,72,9,406,257,3008,1972,1246,726,200,526,1036,531,505,8124,7784,6522,2069,1353,2493,57,40,44,225,241,1262,760,205,297,340,328,12,6081,4063,0,4063,3595,468,2018,4063,3595,468,30229,3226,3008,1035,1973,7775,1290,2279,3569,4206
"Census Tract 301","Census Tract 301, Linn County, Oregon","41043030100","140","00","92","41","043","18",,"030100",5781,5781,54.77972,105.531756903893,106.6259,105.5318,1.094157,5781,2928,2853,5781,315,403,483,308,374,549,915,932,708,444,266,84,5781,5473,6,89,33,1,29,150,2090,1664,1439,225,91,134,426,229,197,5781,5777,5274,1685,1399,1764,126,26,0,92,182,503,339,79,85,4,0,4,4446,2751,0,2751,2607,144,1695,2751,2607,144,44339,2192,2090,1726,364,5766,482,853,1335,4431
"Census Tract 302","Census Tract 302, Linn County, Oregon","41043030200","140","00","92","41","043","18",,"030200",6102,6102,17.86678,341.527624066212,344.4792,341.5276,2.951607,6102,3065,3037,6102,336,416,510,304,410,569,945,977,773,522,271,69,6102,5665,13,112,30,7,130,145,2253,1781,1538,243,83,160,472,256,216,6102,6102,5490,1794,1537,1854,77,34,44,64,86,612,372,102,138,0,0,0,4751,3006,1,3005,2881,124,1745,3005,2881,124,42969,2495,2253,1818,435,6053,526,1088,1614,4439
"Census Tract 303","Census Tract 303, Linn County, Oregon","41043030300","140","00","92","41","043","18",,"030300",2544,2544,2.146839,1184.99825636258,1193.418,1184.998,8.420053,2544,1311,1233,2544,146,152,193,116,151,247,386,460,350,198,116,29,2544,2443,4,19,5,1,8,64,941,744,651,93,37,56,197,121,76,2513,2513,2278,770,714,628,59,16,8,28,55,235,129,44,62,0,0,0,2053,1314,0,1314,1183,131,739,1314,1183,131,48155,1019,941,746,195,2491,168,353,521,1970
"Census Tract 304.01","Census Tract 304.01, Linn County, Oregon","41043030401","140","00","92","41","043","18",,"030401",6375,6375,191.6095,33.270788899408,33.57822,33.27079,0.3074362,6375,3122,3253,6375,392,436,507,315,489,628,901,903,726,569,384,125,6375,5996,13,93,31,8,65,169,2383,1752,1394,358,122,236,631,280,351,6406,6340,5544,1736,1408,1868,168,38,55,129,142,796,528,114,154,66,61,5,4937,2812,0,2812,2622,190,2125,2812,2622,190,33618,2549,2383,1687,696,6318,880,1494,2374,3944
"Census Tract 305","Census Tract 305, Linn County, Oregon","41043030500","140","00","92","41","043","18",,"030500",4029,4029,20.18833,199.570740868297,199.5796,199.5707,0.008811237,4029,2029,2000,4029,246,257,363,209,275,403,575,744,493,263,150,51,4029,3830,6,48,10,0,35,100,1468,1141,966,175,73,102,327,175,152,4029,4029,3582,1129,969,1195,74,27,37,62,89,447,256,78,113,0,0,0,3098,1949,0,1949,1809,140,1149,1949,1809,140,43309,1560,1468,1166,302,3977,300,705,1005,2972
"Census Tract 306","Census Tract 306, Linn County, Oregon","41043030600","140","00","92","41","043","18",,"030600",5699,5699,38.31158,148.753998860226,150.0712,148.754,1.317219,5699,2926,2773,5699,482,430,467,280,515,806,879,755,465,333,231,56,5699,5322,9,63,22,7,150,126,2027,1564,1297,267,91,176,463,252,211,5699,5699,5081,1575,1328,1884,58,47,9,48,132,618,357,109,152,0,0,0,4227,2681,1,2680,2495,185,1546,2680,2495,185,40748,2130,2027,1506,521,5658,499,1111,1610,4048
"Census Tract 307","Census Tract 307, Linn County, Oregon","41043030700","140","00","92","41","043","18",,"030700",3732,3732,63.16774,59.0807926523212,59.58284,59.08079,0.5020432,3732,1824,1908,3732,178,231,252,147,233,327,569,638,466,363,264,64,3732,3568,5,24,23,7,34,71,1506,1123,997,126,40,86,383,183,200,3732,3732,3238,1108,1028,886,70,20,6,46,74,494,309,78,107,0,0,0,3012,1874,0,1874,1790,84,1138,1874,1790,84,42886,1615,1506,1259,247,3697,318,521,839,2858
"Census Tract 308","Census Tract 308, Linn County, Oregon","41043030800","140","00","92","41","043","18",,"030800",7684,7684,267.3208,28.7444945690868,28.90685,28.7445,0.1623575,7684,3759,3925,7684,558,575,545,343,683,977,1050,983,644,579,497,250,7684,7165,23,103,59,15,125,194,2966,2025,1504,521,141,380,941,402,539,7684,7505,6344,2015,1603,2311,78,86,26,80,145,1161,790,154,217,179,114,65,5871,3466,13,3453,3127,326,2405,3453,3127,326,31882,3199,2966,1711,1255,7549,1159,1532,2691,4858
"Census Tract 309.02","Census Tract 309.02, Linn County, Oregon","41043030902","140","00","92","41","043","18",,"030902",6441,6441,99.96809,64.4305626126453,64.7142,64.43056,0.2836291,6441,3278,3163,6441,376,489,520,334,458,672,977,1030,698,507,294,86,6441,6065,9,81,47,10,64,165,2281,1830,1555,275,120,155,451,220,231,6441,6441,5905,1862,1604,2019,101,24,46,144,105,536,347,81,108,0,0,0,4978,3223,0,3223,3023,200,1755,3223,3023,200,45556,2418,2281,1881,400,6414,513,1126,1639,4775
